seam | tau | rows arb/mp | overlapping pairs | disjoint | arg-disjoint edges | floor arb / mp | E arb / mp | D arb / mp | winding arb | winding mp
  55 | 0.097623148 | 87/184 | 263 | 0 | 0 | 1.970378 / 1.990472 | 5.3021e-06 / 5.3021e-06 | 1.7192e+00 / 1.0585e+00 | [-42,45]/1e+06 | [-109,110]/1e+12
  56 | 0.100592007 | 84/184 | 260 | 0 | 0 | 1.941175 / 1.960223 | 4.6447e-06 / 4.6447e-06 | 1.3633e+00 / 1.0444e+00 | [-47,37]/1e+06 | [-108,106]/1e+12
  57 | 0.103256767 | 83/184 | 259 | 0 | 0 | 1.915973 / 1.934146 | 4.1244e-06 / 4.1244e-06 | 1.8748e+00 / 1.0358e+00 | [-44,39]/1e+06 | [-109,111]/1e+12
  58 | 0.106322212 | 83/184 | 259 | 0 | 0 | 1.888105 / 1.905339 | 3.5975e-06 / 3.5975e-06 | 1.3985e+00 / 1.0226e+00 | [-43,40]/1e+06 | [-108,109]/1e+12
  59 | 0.109121211 | 82/184 | 258 | 0 | 0 | 1.863658 / 1.880092 | 3.1754e-06 / 3.1754e-06 | 1.4729e+00 / 1.0069e+00 | [-39,43]/1e+06 | [-101,112]/1e+12
  60 | 0.112196000 | 81/184 | 257 | 0 | 0 | 1.837845 / 1.853458 | 2.7686e-06 / 2.7686e-06 | 1.5600e+00 / 9.9556e-01 | [-39,42]/1e+06 | [-105,100]/1e+12
  61 | 0.115603726 | 80/184 | 256 | 0 | 0 | 1.810448 / 1.825216 | 2.3783e-06 / 2.3783e-06 | 1.6633e+00 / 9.8543e-01 | [-41,39]/1e+06 | [-109,106]/1e+12
  62 | 0.119420123 | 80/184 | 256 | 0 | 0 | 1.781190 / 1.795084 | 2.0062e-06 / 2.0062e-06 | 1.5477e+00 / 9.7319e-01 | [-34,46]/1e+06 | [-105,105]/1e+12
  63 | 0.123423416 | 79/184 | 255 | 0 | 0 | 1.752018 / 1.765071 | 1.6782e-06 / 1.6782e-06 | 1.6336e+00 / 9.5791e-01 | [-38,41]/1e+06 | [-105,111]/1e+12
  64 | 0.127932927 | 77/184 | 253 | 0 | 0 | 1.720898 / 1.733086 | 1.3726e-06 / 1.3726e-06 | 1.5841e+00 / 9.3719e-01 | [-42,35]/1e+06 | [-108,104]/1e+12
  65 | 0.132677441 | 76/184 | 252 | 0 | 0 | 1.690008 / 1.701369 | 1.1109e-06 / 1.1109e-06 | 1.6599e+00 / 9.1684e-01 | [-37,39]/1e+06 | [-104,102]/1e+12
  66 | 0.138092490 | 75/184 | 251 | 0 | 0 | 1.656896 / 1.667405 | 8.7258e-07 / 8.7258e-07 | 1.4735e+00 / 8.9751e-01 | [-36,39]/1e+06 | [-105,105]/1e+12
  67 | 0.143746995 | 74/184 | 250 | 0 | 0 | 1.624564 / 1.634273 | 6.7812e-07 / 6.7813e-07 | 1.1665e+00 / 8.7982e-01 | [-39,35]/1e+06 | [-100,102]/1e+12
  68 | 0.149403375 | 72/184 | 248 | 0 | 0 | 1.594325 / 1.603314 | 5.2696e-07 / 5.2697e-07 | 1.5449e+00 / 8.6327e-01 | [-35,37]/1e+06 | [-99,106]/1e+12
  69 | 0.156872195 | 67/184 | 243 | 0 | 0 | 1.557327 / 1.565472 | 3.7771e-07 / 3.7771e-07 | 1.5401e+00 / 6.8909e-01 | [-34,33]/1e+06 | [-113,98]/1e+12
  70 | 0.165364405 | 64/184 | 240 | 0 | 0 | 1.517005 / 1.526212 | 2.5865e-07 / 2.5865e-07 | 1.5026e+00 / 4.1370e-01 | [-29,35]/1e+06 | [-99,100]/1e+12
  71 | 0.175475846 | 64/184 | 240 | 0 | 0 | 1.467895 / 1.484063 | 1.6479e-07 / 1.6479e-07 | 1.0958e+00 / 1.7495e-01 | [-28,36]/1e+06 | [-93,109]/1e+12

compared 72 seams, 23443 overlapping segment pairs: 0 disjoint value-box pairs, 0 disjoint edge-argument intervals; 0 seams not yet produced
CONSISTENT
