p,a1,a2,N1,N2,b1,b2,c1_id,c2_id,least_m_id,least_m_flip,shape4_id,shape5_id,shape4_flip,shape5_flip,fact22_id,fact23_id,fact33_id,fact22_flip,fact23_flip,fact33_flip,Jmax_conn_id,Jmax_conn_flip
7,1,8,9,65,0.377964,1.142857,-0.755929,1.133893,0,1,realized,realized,nonpositive,realized,False,True,True,False,False,False,0.3234,0.9012
7,1,9,9,67,0.377964,1.285714,-0.677043,1.055008,0,1,realized,realized,nonpositive,realized,False,True,True,False,False,False,0.4499,0.917
7,1,10,9,69,0.377964,1.428571,-0.590211,0.968176,0,1,realized,realized,nonpositive,realized,False,True,True,False,True,True,0.8614,1.0494
7,1,11,9,71,0.377964,1.571429,-0.492403,0.870367,0,1,realized,realized,nonpositive,realized,False,True,True,False,True,True,0.662,0.9015
7,1,12,9,73,0.377964,1.714286,-0.377964,0.755929,0,1,realized,realized,nonpositive,realized,False,True,True,False,True,True,1.1383,1.2404
7,1,13,9,75,0.377964,1.857143,-0.233595,0.611559,0,1,realized,realized,nonpositive,realized,False,True,True,False,True,True,0.8762,2.1502
7,2,-3,10,40,0.755929,-0.428571,-1.225603,1.981532,,,nonpositive,lemma,nonpositive,nonpositive,False,False,False,False,False,False,,
7,2,-2,10,42,0.755929,-0.285714,-1.180423,1.936352,,,nonpositive,lemma,nonpositive,nonpositive,False,False,False,False,False,False,,
7,2,-1,10,44,0.755929,-0.142857,-1.133893,1.889822,,,nonpositive,lemma,nonpositive,nonpositive,False,False,False,False,False,False,,
7,2,0,10,46,0.755929,0.0,-1.085886,1.841815,,,nonpositive,lemma,nonpositive,nonpositive,False,False,False,False,False,False,,
7,2,1,10,48,0.755929,0.142857,-1.036249,1.792178,0,,realized,realized,nonpositive,nonpositive,False,False,False,False,False,False,1.0512,
7,2,2,10,50,0.755929,0.285714,-0.984806,1.740735,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,2.3121,
7,2,3,10,52,0.755929,0.428571,-0.931343,1.687272,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.7664,
7,2,4,10,54,0.755929,0.571429,-0.875602,1.631531,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.8053,
7,2,5,10,56,0.755929,0.714286,-0.817264,1.573193,0,,realized,realized,nonpositive,nonpositive,False,True,True,False,False,False,0.4279,
7,2,6,10,58,0.755929,0.857143,-0.755929,1.511858,0,1,realized,realized,nonpositive,realized,False,True,True,False,False,False,0.5812,0.4947
7,2,7,10,60,0.755929,1.0,-0.69108,1.447009,0,1,realized,realized,nonpositive,realized,False,True,True,False,False,False,0.6011,0.886
7,2,8,10,62,0.755929,1.142857,-0.622036,1.377964,0,1,realized,realized,nonpositive,realized,False,True,True,False,False,False,0.2681,1.1046
