# exact-arithmetic replay of Gomila's printed per-prism gate (BARRIER_CERTIFICATE.md eq. (1)), outward-rounded; source log sha256 2d010f70...05f4 @ a74738d
  52 | seam 0.001876782151 | Delta+ 3.786217e-05 | M- 4.180828 | Dz 8845 Dt 48591 mesh 35376 | spatial 0.500057 (replay 0.500057) | time 1.839761 (replay 1.839761) | gate margin +1.839761 (printed 1.839761) | C-B12 floor 3.680771 ok | cont ok | wind ok | PASS
  53 | seam 0.001914644321 | Delta+ 3.790397e-05 | M- 4.178901 | Dz 8830 Dt 48512 mesh 35316 | spatial 0.500057 (replay 0.500057) | time 1.838797 (replay 1.838797) | gate margin +1.838797 (printed 1.838797) | C-B12 floor 3.678844 ok | cont ok | wind ok | PASS
  54 | seam 0.001952548286 | Delta+ 3.794668e-05 | M- 4.176973 | Dz 8816 Dt 48432 mesh 35260 | spatial 0.500057 (replay 0.500057) | time 1.837833 (replay 1.837833) | gate margin +1.837833 (printed 1.837833) | C-B12 floor 3.676917 ok | cont ok | wind ok | PASS
  55 | seam 0.001990494961 | Delta+ 3.798952e-05 | M- 4.175045 | Dz 8801 Dt 48352 mesh 35200 | spatial 0.500057 (replay 0.500057) | time 1.836869 (replay 1.836869) | gate margin +1.836869 (printed 1.836869) | C-B12 floor 3.674989 ok | cont ok | wind ok | PASS
  56 | seam 0.002028484481 | Delta+ 3.803250e-05 | M- 4.173117 | Dz 8786 Dt 48272 mesh 35140 | spatial 0.500057 (replay 0.500057) | time 1.835905 (replay 1.835905) | gate margin +1.835905 (printed 1.835905) | C-B12 floor 3.673060 ok | cont ok | wind ok | PASS
  57 | seam 0.002066516982 | Delta+ 3.807562e-05 | M- 4.171187 | Dz 8772 Dt 48192 mesh 35084 | spatial 0.500057 (replay 0.500057) | time 1.834940 (replay 1.834940) | gate margin +1.834940 (printed 1.834940) | C-B12 floor 3.671130 ok | cont ok | wind ok | PASS
  58 | seam 0.002104592599 | Delta+ 3.811887e-05 | M- 4.169257 | Dz 8757 Dt 48112 mesh 35024 | spatial 0.500057 (replay 0.500057) | time 1.833975 (replay 1.833975) | gate margin +1.833975 (printed 1.833975) | C-B12 floor 3.669200 ok | cont ok | wind ok | PASS
  59 | seam 0.002142711472 | Delta+ 3.816147e-05 | M- 4.167327 | Dz 8743 Dt 48033 mesh 34968 | spatial 0.500057 (replay 0.500057) | time 1.833010 (replay 1.833010) | gate margin +1.833010 (printed 1.833010) | C-B12 floor 3.667270 ok | cont ok | wind ok | PASS
  60 | seam 0.002180872942 | Delta+ 3.820500e-05 | M- 4.165396 | Dz 8728 Dt 47953 mesh 34908 | spatial 0.500057 (replay 0.500057) | time 1.832044 (replay 1.832044) | gate margin +1.832044 (printed 1.832044) | C-B12 floor 3.665339 ok | cont ok | wind ok | PASS
  61 | seam 0.002219077941 | Delta+ 3.824867e-05 | M- 4.163464 | Dz 8714 Dt 47873 mesh 34852 | spatial 0.500057 (replay 0.500057) | time 1.831078 (replay 1.831078) | gate margin +1.831078 (printed 1.831078) | C-B12 floor 3.663407 ok | cont ok | wind ok | PASS
  62 | seam 0.002257326608 | Delta+ 3.829167e-05 | M- 4.161532 | Dz 8699 Dt 47794 mesh 34792 | spatial 0.500057 (replay 0.500057) | time 1.830112 (replay 1.830112) | gate margin +1.830112 (printed 1.830112) | C-B12 floor 3.661475 ok | cont ok | wind ok | PASS
  63 | seam 0.002295618282 | Delta+ 3.833562e-05 | M- 4.159599 | Dz 8684 Dt 47714 mesh 34732 | spatial 0.500058 (replay 0.500058) | time 1.829146 (replay 1.829146) | gate margin +1.829146 (printed 1.829146) | C-B12 floor 3.659542 ok | cont ok | wind ok | PASS
  64 | seam 0.002333953903 | Delta+ 3.837890e-05 | M- 4.157666 | Dz 8670 Dt 47635 mesh 34676 | spatial 0.500058 (replay 0.500058) | time 1.828179 (replay 1.828179) | gate margin +1.828179 (printed 1.828179) | C-B12 floor 3.657608 ok | cont ok | wind ok | PASS
  65 | seam 0.002372332806 | Delta+ 3.842313e-05 | M- 4.155732 | Dz 8655 Dt 47555 mesh 34616 | spatial 0.500058 (replay 0.500058) | time 1.827212 (replay 1.827212) | gate margin +1.827212 (printed 1.827212) | C-B12 floor 3.655674 ok | cont ok | wind ok | PASS
  66 | seam 0.002410755936 | Delta+ 3.846669e-05 | M- 4.153797 | Dz 8641 Dt 47476 mesh 34560 | spatial 0.500058 (replay 0.500058) | time 1.826245 (replay 1.826245) | gate margin +1.826245 (printed 1.826245) | C-B12 floor 3.653739 ok | cont ok | wind ok | PASS
  67 | seam 0.002449222627 | Delta+ 3.851120e-05 | M- 4.151862 | Dz 8626 Dt 47396 mesh 34500 | spatial 0.500058 (replay 0.500058) | time 1.825277 (replay 1.825277) | gate margin +1.825277 (printed 1.825277) | C-B12 floor 3.651804 ok | cont ok | wind ok | PASS
  68 | seam 0.002487733829 | Delta+ 3.855504e-05 | M- 4.149926 | Dz 8612 Dt 47317 mesh 34444 | spatial 0.500058 (replay 0.500058) | time 1.824309 (replay 1.824309) | gate margin +1.824309 (printed 1.824309) | C-B12 floor 3.649868 ok | cont ok | wind ok | PASS
  69 | seam 0.002526288872 | Delta+ 3.859902e-05 | M- 4.147990 | Dz 8598 Dt 47238 mesh 34388 | spatial 0.500058 (replay 0.500058) | time 1.823341 (replay 1.823341) | gate margin +1.823341 (printed 1.823341) | C-B12 floor 3.647931 ok | cont ok | wind ok | PASS
  70 | seam 0.002564887896 | Delta+ 3.864315e-05 | M- 4.146052 | Dz 8583 Dt 47159 mesh 34328 | spatial 0.500058 (replay 0.500058) | time 1.822372 (replay 1.822372) | gate margin +1.822372 (printed 1.822372) | C-B12 floor 3.645994 ok | cont ok | wind ok | PASS
  71 | seam 0.002603531042 | Delta+ 3.868823e-05 | M- 4.144115 | Dz 8569 Dt 47079 mesh 34272 | spatial 0.500058 (replay 0.500058) | time 1.821403 (replay 1.821403) | gate margin +1.821403 (printed 1.821403) | C-B12 floor 3.644057 ok | cont ok | wind ok | PASS
  72 | seam 0.002642219273 | Delta+ 3.873264e-05 | M- 4.142177 | Dz 8554 Dt 47000 mesh 34212 | spatial 0.500058 (replay 0.500058) | time 1.820434 (replay 1.820434) | gate margin +1.820434 (printed 1.820434) | C-B12 floor 3.642118 ok | cont ok | wind ok | PASS
  73 | seam 0.002680951913 | Delta+ 3.877719e-05 | M- 4.140238 | Dz 8540 Dt 46921 mesh 34156 | spatial 0.500059 (replay 0.500059) | time 1.819465 (replay 1.819465) | gate margin +1.819465 (printed 1.819465) | C-B12 floor 3.640179 ok | cont ok | wind ok | PASS
  74 | seam 0.002719729104 | Delta+ 3.882189e-05 | M- 4.138298 | Dz 8525 Dt 46842 mesh 34096 | spatial 0.500059 (replay 0.500059) | time 1.818495 (replay 1.818495) | gate margin +1.818495 (printed 1.818495) | C-B12 floor 3.638240 ok | cont ok | wind ok | PASS
  75 | seam 0.002758550989 | Delta+ 3.886673e-05 | M- 4.136358 | Dz 8511 Dt 46763 mesh 34040 | spatial 0.500059 (replay 0.500059) | time 1.817525 (replay 1.817525) | gate margin +1.817525 (printed 1.817525) | C-B12 floor 3.636299 ok | cont ok | wind ok | PASS
  76 | seam 0.002797417715 | Delta+ 3.891171e-05 | M- 4.134417 | Dz 8496 Dt 46684 mesh 33980 | spatial 0.500059 (replay 0.500059) | time 1.816554 (replay 1.816554) | gate margin +1.816554 (printed 1.816554) | C-B12 floor 3.634359 ok | cont ok | wind ok | PASS
